Week,District,others,B.1.617.1-like,Alpha (B.1.1.7-like),Delta (B.1.617.2-like),Beta (B.1.351-like),B.1.617.3-like,Eta (B.1.525-like),Delta (AY.4-like),Probable Omicron (BA.1-like)
8/16/2020,Pune,1,1,0,0,0,0,0,0,0
8/30/2020,Pune,0,1,0,0,0,0,0,0,0
9/6/2020,Pune,2,1,0,0,0,0,0,0,0
9/13/2020,Pune,0,3,0,0,0,0,0,0,0
12/13/2020,Pune,1,0,0,0,0,0,0,0,0
12/27/2020,Pune,1,0,0,0,0,0,0,0,0
1/3/2021,Pune,0,0,0,1,0,0,0,0,0
1/10/2021,Pune,1,0,0,1,0,0,0,0,0
1/31/2021,Pune,0,0,0,1,0,0,0,0,0
2/21/2021,Pune,0,1,0,0,0,0,0,0,0
2/28/2021,Pune,0,2,0,0,0,0,0,0,0
3/7/2021,Pune,10,37,0,9,0,0,0,0,0
3/14/2021,Pune,4,10,2,2,0,0,0,0,0
3/21/2021,Pune,3,31,3,26,0,3,0,0,0
3/28/2021,Pune,8,8,0,39,0,0,0,0,0
4/4/2021,Pune,1,2,1,8,0,0,0,0,0
4/11/2021,Pune,0,3,0,5,0,0,0,0,0
4/18/2021,Pune,1,1,0,15,0,0,0,0,0
4/25/2021,Pune,1,0,0,19,0,0,0,0,0
5/2/2021,Pune,2,0,0,17,0,0,0,0,0
5/9/2021,Pune,1,0,0,1,0,0,0,0,0
5/16/2021,Pune,0,0,0,6,0,0,0,0,0
5/23/2021,Pune,1,0,0,5,0,0,0,0,0
5/30/2021,Pune,3,3,0,1,0,0,0,0,0
6/6/2021,Pune,0,0,0,22,0,0,0,0,0
6/13/2021,Pune,0,0,0,1,0,0,0,0,0
6/20/2021,Pune,0,0,0,27,0,0,0,0,0
6/27/2021,Pune,1,0,0,5,0,0,0,0,0
7/4/2021,Pune,0,1,0,26,0,0,0,0,0
7/11/2021,Pune,0,0,0,29,0,0,0,0,0
7/18/2021,Pune,0,1,0,14,0,0,0,0,0
7/25/2021,Pune,0,0,0,33,0,0,0,0,0
8/1/2021,Pune,0,0,0,8,0,0,0,0,0
8/8/2021,Pune,3,5,0,84,0,0,0,0,0
8/15/2021,Pune,3,2,0,44,0,0,0,0,0
8/22/2021,Pune,1,0,0,47,0,0,0,0,0
8/29/2021,Pune,0,0,0,44,0,0,0,0,0
9/5/2021,Pune,2,8,0,61,0,0,0,0,0
9/12/2021,Pune,0,2,0,5,0,0,0,0,0
9/19/2021,Pune,0,0,0,2,0,0,0,0,0
10/3/2021,Pune,0,0,0,4,0,0,0,0,0
11/21/2021,Pune,0,0,0,1,0,0,0,0,0
11/28/2021,Pune,0,0,0,11,0,0,0,0,1